1,1,Introduction ,My name is Tafita . I would like to reach out to you about  a campaign that we are making. Would you be willing to discuss about it 
2,1,Thank you letter,Thank you very much for accepting to contributing to our campaign 
3,2,Reach out ,Hello. I am reaching out to talk about a campaign we are making 
4,3,Thank you,Thank you very much for accepting to contributing to our campaign 
5,1,Come Vote,Please join us for our campaign 
6,1,Presidency,It is our plan for this new presidency 
7,2,Meet,I am please to meet you 
8,2,World ,We are gonna change the world 
9,3,Join ,Come join us 
10,3,Welcone,Welcome in the team 
